word,meaning,example,status,tags,folder
combust,to burn; catch fire,Dry wood can combust quickly.,new,,Roadmap C1. Topic 1
conjure up,to bring to mind or create as if by magic,The smell of cookies conjured up childhood memories.,new,,Roadmap C1. Topic 1
fiery,"very hot; full of strong emotion or anger",She gave a fiery speech.,new,,Roadmap C1. Topic 1
interminable,seeming to never end,The meeting felt interminable.,new,,Roadmap C1. Topic 1
loathing,intense hatred or disgust,He felt loathing for dishonesty.,new,,Roadmap C1. Topic 1
parched,extremely dry or very thirsty,"After the hike, we were parched.",new,,Roadmap C1. Topic 1
ravenous,extremely hungry,I was ravenous after soccer practice.,new,,Roadmap C1. Topic 1
respite,a short period of rest or relief,The rain provided a respite from the heat.,new,,Roadmap C1. Topic 1
stumbled,"tripped or lost one's balance; also means made a mistake while speaking",She stumbled over a rock.,new,,Roadmap C1. Topic 1
sweltering,extremely hot,It was sweltering outside.,new,,Roadmap C1. Topic 1
unaccommodating,unwilling to help or adjust to others' needs,"The manager was unaccommodating when we asked for a refund.",new,,Roadmap C1. Topic 1
wilted,drooping or becoming weak from lack of water or strength,The flowers wilted in the sun.,new,,Roadmap C1. Topic 1
